aagę	she did say
aǫgwahnyenęs	we all are experiencing the passing of a chief
aǫgwanhik	we all made a mistake
aogwat	it dug
aohadadek	the forest burned
aohda	it (animal) got full (finished eating)
aǫhęęh	the most
aǫhęęh otahyǫni	one lone wolf
aǫhkwat	it is itchy
aohnadek	the oil burned
aǫhnyagǫ	in the river flats
aǫhǫdadek	the brush burned
aohsdagwaę	it got dirty or soiled
aǫhsidohai	she did wash her feet
aǫhwęję	landslide
aǫhyaę	blue
aǫhyaętraji	dark blue, purple
aǫhyagęt	light blue
aǫkinętsa	a nation-to-nation invitation (preceded by a speech; high language)
aonadrihwagyao	they (animal) had an accident 
aǫnagrat	birth; (literally: someone was born)
aonhik	it was a mistake; accidental
aǫnideni	she farted
aǫnihsheah	a short duration
aonǫhsadek	the house burned
aonrahdatgęh	rotted leaves
aosdaǫdi	it rained
aǫt	it is attached; it is sticking out
aǫtahita	she went on the heavenly road (refers to a woman who is done with this world)
aǫtehtgęht	someone turned funny (moody, etc.)
aotgai	it made a noise
aotgęh	it became spoiled, rotten
aǫtgweni	she won a competition
aotsihsdęh	it got numb
aǫtsohih	she bit it
aǫtwaehs	she is a transient
aowanęda	it is stuck
aowanędak	it is stuck
aǫwesah	it is enjoyable; a good feeling
aǫwesaht	a happy, glad feeling, pleasant
aǫwesaht	it is enjoyable; a good feeling
aǫwesęh	it is enjoyable; a good feeling
aǫwesęht	it is enjoyable; a good feeling
aǫyędehte	it emerged unintentionally
asadahgwaę	you did store it
asadenyagwaht	you should make yourself vomit
asadǫhwidat	you will swing
asadwędeht	you forfeited
asagyeniht	you got enough
asahdǫt	you lost it; you DID lose it!
asahsdaę	you might cry
asahtgehdat	you put it on now
asajohai	you did wash your hands
asasdis	you did pay attention
asatgahatgiht	you give dirty looks
asatgweni	you won a competition
asatiyak	you held a grudge
asatnętsadahgo	your arm came out of its socket
ase	it is fresh, new
ase	a vegetable
ase onęhę	corn (only usage for singular asé')
asegę	you should see it
asegę	you saw it
asehsęnǫni	you did store it
asek	you should eat
asęnewage	you are really surprised, shocked
asęnowaę	you are squatting
asesdęht	you did take the scales off (the fish)
aseshǫǫh	fresh (foods)
aseshǫǫh	vegetables
asetsahnik	you are afraid
asgęnǫhgęhęk	I hope you (all) will be well
ashagodigǫnyǫhs	they honoured her
ashagodihenyahnǫ	they (non-feminine) cut up someone
ashagodihnyadrę	they hanged her
ashagodwęnayęhdahnǫ	you (literally: he) really lambasted them, repeatedly hit them with words
ashagodwęnayęht	he lambasted, denigrated her / them
ashagohnyadrę	he hanged her
ashagohowi	he told her
ashagohseht	he robbed her
ashagohyanǫt	he gave her fruit
ashagonǫhsǫni	he built a house for her
ashagonyo	someone killed her
ashagotgowanahdę	he raped her; (literally: he forced her in a big way)
ashagotgowanahdę shagohawahk	incest (literally: he raped his daughter)
ashagowiyanęhsgo	he stole or kidnapped her child
ashegǫnyǫhs	you honoured her
ashehas	you did serve her
ashehdehnyęht	you did flip someone over
asheyatgowanahdę	to rape a woman (check translation, spelling)
askejęt	you cured me; you got even with me
asnadaǫni	you should make bread
asnanawęht	you wet it
asnętsodę	you put on its arm (i.e. on a doll)
asohaę	you have attached it
asrihwaehs	you are blaming something
asrihwiyohs	you became a Christian; you converted to Christianity
atada	he stood up
atadaditrahk	Roll Call Chant (literally: He Picked Up The Cane)
atadahs	he stopped it, prevented it
atadę	he took off (from the ground)
atadeni	he changed something
atadihędosga	they (male) were pioneers 
atadihnyoda	they (male) had the tug o' war
atadiyaǫdatrenahnǫ	they made an incision in a cadaver
atadiyena	they (male) did it together (i.e. accomplices)
atadrihwahę	he went afoul of the law; he did something wrong
atadrihwatsa	he earned it; he fulfilled it
ataęnadeni	he changed the song
atagedrehdaehs	he hit my car
atahędiyak	he went across the field
atahehdawęnye	he hoed, tilled the earth
atahyahk	he picked up the fruit
atatgręgręht	he frowned
atatkwa	dryer
atatnęhsędǫh	he shrugged
atatnętsiyak	he broke his arm
atedrehdaehs	I hit his car
atehsehsinyak	you broke his leg
atęnadrasroiak	they (male) tested or tried their luck
atęnahdahgwaę	they (male) played horseshoes (a game); moccasin game
atęnahsowek	they put shoes on a horse
atęnatnętsiyak	they (male) broke their arm
atęnęǫ	they (male) raced
atgadadehsohdahiht	I smashed my finger
atgadiyena	they (animal) did it together (i.e. accomplices)
atgaeyena	they (female or mixed group) did it together (i.e. accomplices)
atgahnyehtra	sports, games
atgajidagai	there was whining, crying, repetitive complaining
atgakeyadahk	I picked them up
atgaǫdra	they (male) met
atgaǫgrihwaehs	they wanted a report
atgaǫtnętsiyak	they (female or mixed group) broke their arm
atgatgahawęnye	I had blurred vision
atgathnǫhsahsnye	I did clean up the house
atgatnętsiyak	I broke my arm
atgehk	I picked something up
atgęnatnętsiyak	they (animal) broke their arm
atgęnętsaǫnyǫ	I waved my arms
atgęninyagyak	I burped, belched
atgǫhsgwatra	a window
atgǫhsgwatra ǫtgahtwahta	mirror
atgowę	I split it open
atkehdawęnye	I hoed, tilled the earth
atnagwihdra	belt
atnagwihdra ǫdodata	suspenders
atnatsotra	pants
atodanihsaek	he got cornered, up against the wall with no recourse
atǫdęǫ	the act of hearing
atodewanegas	he got a flat tire
atodidraihę	they (male) hurried
atodihwaęda	they (male) came to a decision or conclusion
atohet	he hollered or yelled
atohsihas	he did choke
atoihwaędas	he came to a decision or conclusion
atostrok	he had a stroke
atǫwadihstoda	they handcuffed him, them (male)
atǫwaęnaehs	he speared him with a stick
atǫwanyaohak	someone squeezed his neck
atowayęniyak	it broke his spirit
atǫwis	sustenance songs
atǫwisę	Seed Blessing Songs
atrǫnida	clothes
atsadǫgoht	you went across; you have completed something
atsahkyohsgwi	you did crawl
atsatnętsiyak	you broke your arm
atsatnętsiyaksǫh	you broke your arms
atsęnya	you looked after it
atshokdǫhsra	hoe
atsnǫwayęht	you have bartered
atsogę	calendar
atsokwahda	big-headed sucker
atswaehs	you all pierce
awadadrihwadǫt	suicide; (literally: someone did away with themselves)
awadadriyo	it killed itself; suicide
awadadwędeht	it (i.e. a pet) forfeited (its life)
awadagwas	it got bruised
awadahǫdǫ	it asked
awadahǫhdohai	it washed its ears
awadahyokdę	the berries have run out, they are no more
awadanukdanǫ	Medicine Dance (Seneca)
awadedrehdagahato	a vehicle was turned over
awadęhnidokdę	end of the moon; last quarter
awadehsiyogo	it frayed
awadehstodręht	it moulted
awadejiohgyak	it did cut its nails
awadetetra	it did powder itself
awadetgiht	it was bad weather, stormy
awadewadahgo	it deflated
awadǫ	it has become; it became
awadokdę	it has ended; the end
awadǫnek	it did move away
awadratsǫ	it got torn, ripped
awadręnǫni	it made a song
awadrihgwahdǫ	an eclipse( took place); (literally: the moon got lost)
awadrihodę	Northern Lights
awadrihwagyaǫ	there was an accident
awadrihwahdǫ	it died out, faded away (an idea)
awadwęnodę	it did bay, howl
awagahyagwęhagyesek	I would still have been picking fruit
awagahyagwęhęgye	I should be picking fruit along
awagahyagwęhęgyek	I should have been picking along
awagahyagwęk	I should have picked fruit
awagatrowihagyesek	I should be telling it around or about
awagęnǫhdǫk	I should know
awagranawę	the snow melted
awagranęhtge	avalanche (of snow)
awagranhohsrodę	it piled snow there
awagyadawihsi	it shed its skin (a snake)
awagyadohai	it washed its body
awahdęgoh	it swelled up
awahdǫ	a loss
awahdok	it sprouted
awahetge	it got no good
awahsgędrodę	it got mouldy; it got rusty
awahstwa	it shrank it
awahstwaht	it shrank
awahtga	it let go
awahyai	it ripened
awahyę	fruit fell down
awahyęda	the berry season is over
awahyęht	it knocked the fruit down
awahyǫdę	the fruit is coming on, is setting
awasdehs	it evaporated, dried up, boiled dry
awatęhdaęt	they shed their fur
awatehgyak	it did erode
awatgahit	it played with it
awatgęęk	a flash, glimpse
awatgęh	it got up
awatgweni	it won a competition
awathnegęgo	water rose or swelled
awatǫgai	it did stiffen up
awatsa	it is worn out, all gone, burnt up; it went down to nothing
awatsihsa	it did mature (as in plants); it completed its life-cycle
awatsihsę	it ripe(ned) for harvesting
awatwaehs	it stayed there (i.e. a stray dog)
awayǫgyǫ	it is drizzling; misty rain, fine rain
awę	it is said
awędadogęhdǫh	Sunday
awędędaǫh	Monday (literally: the day got finished)
awędęnawę	it got wet
awegehyat	Top of the Water (Onondaga Chief Title)
awęhę	flower
awęhegowah	eagle
awęhęgyeh	let it go, release it! (short form of hvgyctslf)
awęhęshǫǫh	a variety of flowers, plants
awęhnodǫ	flood; it flooded
awęhoda	sweet flag
awęhsga	it took off fast (i.e. a car, a dog)
awęhsidohai	it washed its feet
awęnahodę	soft kind words
awęnahsa	tongue
awęnideni	it farted
awęnihnadok	it sensed something
awęnohgra	weeds
awęnowaę	it sank
aweta agiheyǫ	I'm pretending I am dead
awetah	implied; pretend
awetah tsǫ dęsatsǫhs	pretend to sneeze!
awetahshǫǫh	make-believe, pretend
awęyohga	thumb
awęyǫhgayęht	one minute
awęyǫhsa	heart
ayagonadrihwagyaǫ	they (female or mixed group) might have an accident
ayagwadahnyo	we all (exclusive) would fish
ayagwahsęnǫ	we all (exclusive) should give it a name
ayakhne	we two (exclusive) would go together
ayawęh	I wish, hope
ayesayadagenha	she would help you
ayetsęi	she might find it
ayoda	it would sleep
ayǫdawę	she might swim
ayonadrihwagyaǫ	they (animal) might have an accident
da	here; does not occur alone
da	here
da gwadih	over here, this side here
da hǫweh	this is where
da ne	that it
da ne hni	that also
da ne onęh	and now that
da ne toh	that is all
da nędah	now this also
da onęh	and now
dadratęh	climb (over here)!
dagadiyo	they (animal) came in
dagagwitgę	sunrise; the sun did rise
dagahwajiyadagye	they (literally: it) come(singular) from the same family line
dagaǫwęhdat	they (female or mixed group) might run
dagatnętsiyak	I might break my arm
dagayagęhdahk	it came out (suddenly)
dage	I am coming
dagegageh ganǫhses	Onondaga Longhouse
dagęhyat	Upper End (literally: top of the mountain)
dagęne	they (animal) are coming
dagenętsǫnek	I withdrew my arm (i.e. withdrew my support)
dagos	cat
dagujih	kitten
dagus	cat
dagus gadinrahdas	catnip
dagusgowah	big cat; tiger
dahadahs	he would try and stop something
dahadiyǫ	they (male) came in
dahahaha	he came onto the road back there
dahęhsga	he squealed out; took off abruptly
dahonadręnodagye	they (male) are singing as they are approaching
dahǫwakyędahkwahagwaht	someone knocked him out of his chair
dajǫh	come in!
dakshaedohs	chicken
dakshaedohs ganyo owahǫh	pheasant meat
dakshaedohs odinǫhsot	chicken coop
dakshaedohs owahǫh	chicken meat
dakshaedohsgeha	Chicken Dance
daodogęhegyę	it sprouted
daogahne	early night is coming
daogye	it is coming, floating along (in the water)
daosawagye	it is beginning or starting
dasadenyędęhs	copy! compare!
dasahtga	you donated
dasasnęht	come on down!, get down from there!
dasatsohih	you (singular) bite!
dasegrik	wrinkle, fan-fold!
dasgaowę	Tuscarora people; Tuscarora, New York (near Lewiston) (literally: place of split stone)
dasgegai	you bite me! (take a bite)
dasgehswenaget	scratch my back!
dasgidę	pity me
dasgǫh	give it to me
dasha	bring it here
dashagonǫhtwahs	he forced her
daskrǫhwas	you wait for me
dasǫnek	you subtract!
dasratęh	climb (over here)!
dasrihwaek	you insisted
datsęna	you (singular) grab it!
dawadajihsdęht	there was a mud slide
dawadasęht	it swooped down
dawadokdahs	it lacks; it is not enough
dawadokdę	it lacked; it was not enough
dawadonek	it moved away
dawadrago	it chose
dawadrihwagyaǫ	there was an accident over there
dawagyęt	the first one or beginner
dawasę	it dropped, reduced
dawatehtgęht	it went bad
dawatgrik	it pulled back, flinched, shrank
dawathnegęgwaht	tidal wave
dawędaęta	morning star
dawędodę	dawn, daybreak
dawęhnihsraędǫgye	the coming days
dawęhsga	it took off from over there
dawęnǫhk	sudden; all of a sudden
dayagwaęnaę	we all (exclusive) would play snowsnake
dę	what; why
dę hne	what? why?; what is that? why me? (or any similar expression of exasperation)
de ho dę	what
dę niyohsohgodę	what colour is it
deagadǫtgade	I am not happy
deagęnǫhdǫ	I do not know
deagǫnhegye	she was stillborn; she came to be not living
deagyadekǫnih	we two (exclusive) do not eat
deaǫwesaht	it is unpleasant
dedesadodahdanih	it trips you all the time
dędihsadre	you will drive over here
dędihswajihgwagwahe	you will come and get the mush (tells the masks when they are to come back for their mush)
dedisanigǫhiyo	you are grumpy, grouchy, not happy
dędwadadrihwanǫhkwak	we all (inclusive) will show respect for one another
dedwadagyenawahs	let us all (inclusive) help each other
dędwadatnǫhǫnyǫ	we all (inclusive) will greet each other
dędwadatrowi	we all (inclusive) will tell one another
dedwadehsas	we are looking for mates
dędwadęnǫhǫnyǫ	we all (inclusive) will give thanks
dedwahsaweha	to restart
dędwahsdatet	we all (inclusive) will shine it
dędwahtago	we all (inclusive) will discuss
dędwanahaǫgwętraę	Seed Ceremony
dedwanętsakah	we all (inclusive), our arms are short
dedwanętses	let's make our (inclusive) arms long
dedwanętsuuh	we all (inclusive) have small arms
dedwanǫhǫhkwa	we all (inclusive) refer to it as
dędwanǫhǫnyǫ	we all (inclusive) will thank something
dędwatahahk	we all (inclusive) will walk
dedwatgawęh	to replace (literally: it has been re-given)
dedwayena	let's work together, help each other
dedwayenawakǫ	we all (inclusive) are working united for one cause
dedwayenawakǫ	let's work together)
degaahdrage	two baskets
degadahsta	glottal stop
degadęhnǫde	my sibling
degadęhnǫdrǫ	my siblings
degadęhs	airplane; it flies, goes up in the air
degades ahdahgwa	high-heel shoes
degadidahsta	stable, barn, bus stop
degadidęhsdahkwa	stable
dęgadihsdatet	they (animal) will shine it
degadihsinusuh	they (animal) have two small legs
degadinętsakah	their (animal) arm is short
degadinętses	their (animal) arm is long
degadinętsuuh	they (animal) have small arms
degadiyahshe	two of them; they (animal) are two)
degadiyenawakǫ	they (animal) are accomplices
degadodaishǫhs	I am combing my hair
dęgadodaisi	I am going to comb my hair
degadogwahta	I scatter something
degadohagǫh	it has been squeezed
degadrehdage	two cars
degadrehdahkwa	jack, tow truck, hoist
degaehsinusuh	they (female or mixed group) two small legs
dęgaehstatet	they (female or mixed group) will shine it
degaejaǫ	both of them (female or mixed group)
degaekęh	twin girls, twin boy and girl
degaenętsakah	their (female or mixed group) arm is short
degaenętses	their (female or mixed group) arm is long
degaenętsuuh	they (female or mixed group) have small arms
dęgaes	I will pierce something
degaewayǫt	angels
degaeyadowehta	they (female or mixed group) are thinkers (seers)
degaeyahshe	two women; they (female or mixed group) are two
degagahgwegǫh	it is blind
degagǫdǫdǫhgǫh	water root (medicine)
degagǫtrage	two pounds
degagwatwęh	hem
dęgagwatwęhęk	it will be hemmed
degahak	it was never setting there
degahehdahihdǫh	land that is disced or worked
degahehdawęnyeh	cultivator
degahęhjidahǫh	Hallowe'en witch
degahehnohas	bailer
degahęnatrase	scissors
degahgǫnhnigǫh	the leader of equal standing
degahgwata	it upholds or raises up things
dęgahi	it will break (into small pieces)
degahihdǫh	to smash something into tiny pieces
degahihta	grinder or cutter
degahis	it breaks, it is breakable
dęgahjiyo	I will scratch
degahjiyoha	I am scratching
degahjiyohs	I am scratching
degahnanet	lining, insulated wall
degahnegahkwa	water spout
degahnegayehsdǫh ǫhsǫhta	water colours, paint
degahnegǫgohdǫh	water (that is) being strained
degahneka	a dam
degahnyǫhsrade	iron beams; prison
degahnyohsradǫ gadinhodǫh	caged animals
degahǫ	something is lying across a path, a door, etc.
degahǫh	marsh crane; (literally: it leans; referring to its legs); a bar; a barrier
degahǫhsrage	two boxes
degahǫjihsdayehsdǫh	Black people of mixed blood
dęgahsdatędǫh	it is shined, waxed, polished
dęgahsdatęt	it (the polish) is going to shine it
degahsdęhędagye	escarpment
degahsdęhes	a high mountain
dęgahsęhto	I will cry
degahsęhtwahs	I am crying
